	Sobic	Seita	Ortho	Orysa	Bradi	Pavag	Zmays
SynPair9073	0.1506665945536656	0.14537316337452563	0.08434307547147833	0.07864385799115463	0.11195370509899864	0.12756572149259043	0.14004648420476978
SynPair65064	0.1439704069050555	0.1647793991416309	0.21137325393041484	0.2676679023113825	0.2281673361292452	0.12410437365032352	0.3681680459104183
SynPair38235	0.41657401938644334	0.1561177500107593	0.13644466452092102	0.20657043799608593	0.1940778560979694	0.12710693972110432	0.050748788659567175
SynPair25526	0.7433031412603585	0.5996180273031372	0.4467967961406867	0.6619283113195901	0.7367145459494545	0.549254003741388	0.6350626118067978
SynPair45313	0.13124266700643977	0.5176698825503355	0.12048804124566008	0.18023997861027313	0.254281429865454	0.2973388606579299	0.10322450476889215
SynPair25442	0.2313629211654278	0.23258013905125208	0.28551599666550664	0.38017179832961256	0.21922554481563872	0.33444624192567607	0.7662558676394223
SynPair65100	0.08883504946497073	0.1388507522452949	0.13967868492448013	0.11886637946380887	0.13013390928725702	0.07377443720379147	0.07460098977651225
SynPair22423	0.04891457363604121	0.10092444233233043	0.09921130042471617	0.06503149227351727	0.11988953153832417	0.15748043238890144	0.10107384970707957
SynPair43128	0.5021384544425344	0.5365019228727965	0.3726521510589603	0.3483785177859066	0.3773980034722222	0.5291394760670685	0.43810612555968376
SynPair59492	0.15234869351596814	0.09614477553964819	0.08956625173551022	0.1903467029231815	0.1689265417362094	0.1363681958004547	0.05838539399750633
SynPair31296	0.04997597308986065	0.04508592062692606	0.041920310261731895	0.038450442152293075	0.05507975428003002	0.049601215699977254	0.016533344196017128
SynPair37301	0.04034274026939922	0.03393487642212632	0.11727609429150891	0.1556093670394721	0.12402361883069458	0.055905549738750816	0.08898697473888753
SynPair6147	0.12884350474553563	0.20282963530709128	0.1024338712591913	0.4652953069110311	0.1746298705321192	0.20916272755524298	0.2538850604462562
SynPair57450	0.191307261208577	0.14858927668839667	0.13281943982520325	0.09122934832227453	0.1983104744162143	0.09015165997578539	0.11670316425612819
SynPair29619	0.2614458963993607	0.4449197194723755	0.1688156282414048	0.262502705883429	0.3488929770435007	0.35020259385221225	0.22009813292550823
SynPair2081	0.5266792382672439	0.2330398336474105	0.2546815398731584	0.23160990066915185	0.21053248550418008	0.2979956003588057	0.2867283096174077
SynPair17112	0.08428338762214985	0.07960470888266502	0.07034655010927256	0.016448473895282405	0.0955478111527527	0.10539924664778282	0.05805939668818954
SynPair57948	0.2785422616659192	0.1127420387261962	0.10703404065538787	0.21501826759874573	0.34982076852472027	0.769301216477744	0.13849477433292462
SynPair5228	0.10439838586036823	0.19589045577986455	0.200676568940042	0.28365249508209883	0.18230428827310086	0.1627934061996058	0.1733246883627541
SynPair57534	0.19832870237202088	0.14138659929206637	0.18498501159201997	0.16269844510168655	0.12872619276440342	0.12672122069771735	0.21126215062405723
SynPair10017	0.09819542690274018	0.10976074428056583	0.09663592849995944	0.06407795659235199	0.060629294486285595	0.09114037473798742	0.09597456870378969
SynPair32255	0.1827924633118837	0.20205206761358033	0.4671892299811062	0.20938874448315026	0.28671890414047746	0.10332524153212011	0.09588471664126369
