Species,N,P,Condition,Treatment,Rep
Maize,1.66,0.22,Full,NT,1
Maize,1.79,0.21,Full,NT,2
Maize,1.93,0.22,Full,NT,3
Sorghum,1.9,0.27,Full,NT,1
Sorghum,2.01,0.26,Full,NT,2
Sorghum,1.86,0.24,Full,NT,3
Paspalum,2.37,0.29,Full,NT,1
Paspalum,2.15,0.27,Full,NT,2
Paspalum,2.39,0.29,Full,NT,3
Maize,1.02,0.41,Ndep,NT,1
Maize,1.32,0.38,Ndep,NT,2
Maize,1.26,0.39,Ndep,NT,3
Sorghum,1.26,0.37,Ndep,NT,1
Sorghum,0.89,0.36,Ndep,NT,2
Sorghum,1.07,0.38,Ndep,NT,3
Paspalum,1.6,0.26,Ndep,NT,1
Paspalum,1.84,0.26,Ndep,NT,2
Paspalum,1.55,0.26,Ndep,NT,3
Maize,1.73,0.14,Pdep,NT,1
Maize,1.54,0.14,Pdep,NT,2
Maize,1.6,0.14,Pdep,NT,3
Sorghum,1.85,0.14,Pdep,NT,1
Sorghum,2.02,0.14,Pdep,NT,2
Sorghum,1.98,0.15,Pdep,NT,3
Paspalum,2.49,0.25,Pdep,NT,1
Paspalum,2.29,0.23,Pdep,NT,2
Paspalum,2.5,0.24,Pdep,NT,3
Maize,2.12,0.32,Full,ValA,1
Maize,2.19,0.33,Full,ValA,2
Maize,2.07,0.31,Full,ValA,3
Sorghum,2.36,0.33,Full,ValA,1
Sorghum,2.03,0.31,Full,ValA,2
Sorghum,2.55,0.34,Full,ValA,3
Maize,1.36,0.35,Ndep,ValA,1
Maize,1.51,0.36,Ndep,ValA,2
Maize,1.49,0.37,Ndep,ValA,3
Sorghum,1.29,0.35,Ndep,ValA,1
Sorghum,1.43,0.34,Ndep,ValA,2
Sorghum,1.38,0.33,Ndep,ValA,3
Maize,1.73,0.23,Pdep,ValA,1
Maize,1.54,0.22,Pdep,ValA,2
Maize,1.8,0.21,Pdep,ValA,3
Sorghum,1.89,0.21,Pdep,ValA,1
Sorghum,2.01,0.23,Pdep,ValA,2
Sorghum,1.88,0.21,Pdep,ValA,3
Paspalum,2.35,0.27,Full,ValA,1
Paspalum,2.22,0.25,Full,ValA,2
Paspalum,2.2,0.26,Full,ValA,3
Paspalum,1.53,0.25,Ndep,ValA,1
Paspalum,1.68,0.27,Ndep,ValA,2
Paspalum,1.1,0.25,Ndep,ValA,3
Paspalum,2.35,0.22,Pdep,ValA,1
Paspalum,2.05,0.24,Pdep,ValA,2
Paspalum,1.94,0.21,Pdep,ValA,3
