Species,Length,Condition
Maize,20.3,Full
Maize,25.7,Full
Maize,20.4,Full
Maize,24.1,Full
Maize,24,Full
Maize,20.3,Full
Maize,29.3,Full
Maize,17.5,Full
Maize,27.3,Full
Maize,29.8,Full
Maize,26.4,Full
Maize,25.9,Full
Maize,25.2,Full
Maize,24.7,Full
Maize,31.2,Full
Maize,25.3,Full
Maize,27.8,Full
Maize,25.1,Full
Maize,28.3,Full
Maize,27.5,Full
Maize,30.2,Full
Sorghum,20.4,Full
Sorghum,20.2,Full
Sorghum,17.6,Full
Sorghum,17.3,Full
Sorghum,20,Full
Sorghum,21,Full
Sorghum,15,Full
Sorghum,21.2,Full
Sorghum,16.6,Full
Sorghum,29.4,Full
Sorghum,25.1,Full
Sorghum,22.4,Full
Sorghum,29.3,Full
Sorghum,27,Full
Sorghum,9.2,Full
Sorghum,13,Full
Sorghum,27.7,Full
Urochloa,13.9,Full
Urochloa,16.6,Full
Urochloa,10.6,Full
Urochloa,12.9,Full
Urochloa,15.2,Full
Urochloa,8.6,Full
Urochloa,14.9,Full
Urochloa,18.9,Full
Urochloa,7.6,Full
Urochloa,10.6,Full
Urochloa,15.2,Full
Urochloa,15,Full
Urochloa,19.1,Full
Urochloa,15.8,Full
Urochloa,16.3,Full
Urochloa,25.1,Full
Urochloa,10,Full
Urochloa,8.1,Full
Urochloa,8.7,Full
Setaria,17,Full
Setaria,20.3,Full
Setaria,17.1,Full
Setaria,16.9,Full
Setaria,26,Full
Setaria,20,Full
Setaria,20.1,Full
Setaria,11.5,Full
Setaria,20.6,Full
Setaria,17.6,Full
Setaria,18.4,Full
Setaria,21.1,Full
Setaria,24.6,Full
Setaria,18.5,Full
Setaria,16.8,Full
Setaria,22.1,Full
Setaria,30.6,Full
Setaria,21.5,Full
Setaria,21.2,Full
Setaria,29.6,Full
Setaria,25.5,Full
Setaria,17.3,Full
Setaria,25.6,Full
Setaria,23.8,Full
Setaria,30,Full
Setaria,17.8,Full
Setaria,20.9,Full
Setaria,17.6,Full
Setaria,36.5,Full
Setaria,22.6,Full
Setaria,16.8,Full
Setaria,14.9,Full
Setaria,33.3,Full
Setaria,37.4,Full
Setaria,20.1,Full
Setaria,16.4,Full
Danthoniopsis,13.4,Full
Danthoniopsis,18.2,Full
Danthoniopsis,12.6,Full
Danthoniopsis,19.6,Full
Danthoniopsis,21.8,Full
Danthoniopsis,11.8,Full
Danthoniopsis,19.3,Full
Danthoniopsis,18.6,Full
Danthoniopsis,19,Full
Danthoniopsis,16.3,Full
Danthoniopsis,19.3,Full
Danthoniopsis,17.7,Full
Danthoniopsis,17.2,Full
Danthoniopsis,15,Full
Danthoniopsis,15.8,Full
Danthoniopsis,17.2,Full
Danthoniopsis,16.8,Full
Danthoniopsis,16,Full
Danthoniopsis,16.8,Full
Danthoniopsis,14.3,Full
Danthoniopsis,22.4,Full
Danthoniopsis,19.1,Full
Danthoniopsis,15.7,Full
Danthoniopsis,22.9,Full
Danthoniopsis,15.1,Full
Danthoniopsis,22.8,Full
Danthoniopsis,21.6,Full
Danthoniopsis,40.3,Full
Danthoniopsis,25.7,Full
Danthoniopsis,23.6,Full
Danthoniopsis,26.8,Full
Danthoniopsis,16.2,Full
Danthoniopsis,24.1,Full
Danthoniopsis,22.6,Full
Danthoniopsis,20.3,Full
Danthoniopsis,23.8,Full
Danthoniopsis,26,Full
Danthoniopsis,22.7,Full
Danthoniopsis,20.9,Full
Danthoniopsis,20.8,Full
Danthoniopsis,33.6,Full
Danthoniopsis,10.4,Full
Danthoniopsis,12.4,Full
Paspalum,12,Full
Paspalum,17,Full
Paspalum,21.5,Full
Paspalum,16,Full
Paspalum,13.6,Full
Paspalum,13,Full
Paspalum,11.5,Full
Paspalum,19.4,Full
Paspalum,21,Full
Paspalum,13.3,Full
Paspalum,21.2,Full
Paspalum,21,Full
Paspalum,18.1,Full
Paspalum,11.5,Full
Paspalum,19.6,Full
Paspalum,13.1,Full
Maize,23.1,-N
Maize,29.2,-N
Maize,25.2,-N
Maize,24.4,-N
Maize,37.9,-N
Maize,30,-N
Maize,26.2,-N
Maize,34.3,-N
Maize,33.1,-N
Maize,30.6,-N
Maize,45.2,-N
Maize,33.4,-N
Maize,33.6,-N
Maize,38.7,-N
Maize,38.2,-N
Maize,28.3,-N
Maize,36.8,-N
Maize,36.5,-N
Maize,29.8,-N
Maize,29.2,-N
Maize,37.1,-N
Sorghum,21,-N
Sorghum,21.1,-N
Sorghum,27.6,-N
Sorghum,29.6,-N
Sorghum,28.2,-N
Sorghum,31.4,-N
Sorghum,33.3,-N
Sorghum,33.5,-N
Sorghum,26.2,-N
Sorghum,28.4,-N
Sorghum,26.3,-N
Sorghum,29.5,-N
Sorghum,20.4,-N
Sorghum,46.2,-N
Sorghum,45.9,-N
Sorghum,32.6,-N
Sorghum,23.6,-N
Urochloa,21.3,-N
Urochloa,15.6,-N
Urochloa,16.1,-N
Urochloa,17.4,-N
Urochloa,13.4,-N
Urochloa,15.6,-N
Urochloa,26.6,-N
Urochloa,24.2,-N
Urochloa,25.5,-N
Urochloa,17.2,-N
Urochloa,17.6,-N
Urochloa,19.1,-N
Urochloa,26.9,-N
Urochloa,24,-N
Urochloa,26.3,-N
Urochloa,23,-N
Urochloa,30.3,-N
Urochloa,30.4,-N
Urochloa,18.6,-N
Setaria,16.3,-N
Setaria,34.2,-N
Setaria,16.5,-N
Setaria,18.4,-N
Setaria,24,-N
Setaria,17.1,-N
Setaria,28.2,-N
