"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRMZM5G800101",3.7091128826452,-4.53810402057564,1.4285368091314,-3.17674979851234,0.00148935465250344,0.00431673835440241
"GRMZM5G800980",4.7664084206687,-3.58611756439497,1.24310437910599,-2.88480808584556,0.00391652334095629,0.0103735815750333
"GRMZM5G801746",3.51859351255389,-3.54296404707169,1.3286353855033,-2.66661876217423,0.00766185304277323,0.018999791244917
"GRMZM5G804358",53.4825838116422,-2.60837827724516,0.296825256651464,-8.78758872028182,1.52804197548563e-18,1.84984620718928e-17
"GRMZM5G804708",25.274728414218,-2.90575522820633,0.448917228436961,-6.47280844694596,9.61978764765818e-11,6.90984349128457e-10
"GRMZM5G804776",10.5833953954857,-5.12335943209035,1.11727629834965,-4.58557962758016,4.52728686970149e-06,1.98178421874242e-05
"GRMZM5G806435",5.50703727065135,-3.15359800172191,1.07141253907938,-2.94340217861521,0.00324626395663277,0.00875803282184831
"GRMZM5G807592",25.3801373206337,-1.71674368593865,0.390023184327434,-4.4016452224476,1.07433123675058e-05,4.45727921728378e-05
"GRMZM5G811749",38.8215634213124,-2.07210402803447,0.330274506791789,-6.27388425513798,3.52150334456745e-10,2.40797165518139e-09
"GRMZM5G821687",3.43480462917673,-3.90113011819746,1.44371600261678,-2.70214509718431,0.00688936902335521,0.0172769328011712
"GRMZM5G827309",82.3065635742196,-3.38400646629781,0.288857992607188,-11.7151214538129,1.06638310868363e-31,2.19481999228139e-30
"GRMZM5G830210",10.5555460930469,-5.90958721992349,1.2962128812872,-4.55911780019882,5.13689524700139e-06,2.22850716037531e-05
"GRMZM5G834128",16.9589819819838,-2.62414110084249,0.521216030405383,-5.03465156050846,4.78718794509299e-07,2.37730486422671e-06
"GRMZM5G836994",37.1638138256538,-2.08780551492866,0.377605042298097,-5.52907212843959,3.21928970761963e-08,1.81872560471328e-07
"GRMZM5G837015",5.15725810886774,-4.85085172182793,1.33885949910917,-3.62312231048553,0.00029106809989109,0.000962246297054437
"GRMZM5G838396",35.9263620835753,-3.84475402468147,0.469315800625514,-8.1922535306868,2.56379863932939e-16,2.73683373774294e-15
"GRMZM5G839924",3.53118313690819,-3.04917510273139,1.15369359481486,-2.64296786983611,0.00821828335968546,0.0202217076162152
"GRMZM5G845024",106.495220768646,-2.63584559444327,0.213809795722767,-12.3279926699944,6.40217516641174e-35,1.45557557658379e-33
"GRMZM5G845244",15.1132925028685,-3.73660322133185,0.643919111747939,-5.80290777701677,6.51746427316902e-09,3.94584464910466e-08
"GRMZM5G851769",22.8454888427266,-3.28402510463077,0.533649305801901,-6.15390120239349,7.55997902251777e-10,5.02208537502749e-09
"GRMZM5G853305",16.7056077002034,-3.11270449876074,0.584728011286558,-5.32333741274333,1.018805150909e-07,5.46609960004035e-07
"GRMZM5G854065",4.08261405291869,-2.59510363345891,1.05402123628798,-2.46209805278523,0.01381268989512,0.0321917331961677
"GRMZM5G856027",14.0282581032693,-3.00568856918591,0.613370693229972,-4.90028069870464,9.56998268156061e-07,4.57323945012497e-06
