"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pavagv31000040m.g",6.19434560258781,-1.68702465648499,0.714299195164467,-2.36178994447355,0.0181869438794927,0.0436115820032269
"Pavagv31000057m.g",272.358336279004,-1.05643503193848,0.105309462465596,-10.0317199158016,1.1057348842173e-23,1.56264487373008e-22
"Pavagv31000070m.g",5.65679998666716,4.74077231138945,1.32600976063972,3.57521675338371,0.000349937854561041,0.00121227830789211
"Pavagv31000153m.g",198.916850150673,1.1505443179459,0.129960078651019,8.85305956943479,8.51521859167446e-19,9.74315345542312e-18
"Pavagv31000185m.g",4.31809804942274,-5.32941536857262,1.34938419325226,-3.94951667228868,7.83091566217625e-05,0.00030272750856968
"Pavagv31000203m.g",47.1837565262945,-1.02243674330081,0.251707284577866,-4.06200696581156,4.8652624999278e-05,0.000194215592326663
"Pavagv31000222m.g",322.555697014356,-1.31131971897433,0.0971935527741229,-13.4918385175386,1.74689354310873e-41,4.11242153590496e-40
"Pavagv31000224m.g",254.967222197246,-1.24529945935772,0.110579688199776,-11.261556978782,2.03137589208308e-29,3.46011879754126e-28
"Pavagv31000247m.g",47.3318860070406,1.60539343521757,0.268402088733049,5.98130008151421,2.21363630099445e-09,1.3989871099439e-08
"Pavagv31000248m.g",1.88913390595245,3.96021411899515,1.52051870742599,2.60451522211076,0.00920043339506284,0.0239936871291029
"Pavagv31000249m.g",129.533607744567,3.15103181177256,0.192255057876351,16.3898513078347,2.25996732264627e-60,7.86742034881069e-59
"Pavagv31000251m.g",12.1596291192806,-1.97651081659005,0.485625001473714,-4.07003513120614,4.70060488226322e-05,0.000187947762690817
"Pavagv31000257m.g",4.91754786358429,3.65239626008734,1.1865022292658,3.0782885779721,0.00208193199629217,0.00629560408806114
"Pavagv31000335m.g",5.20874988458042,-2.13949975405753,0.784515946661304,-2.72715903757303,0.0063882240987515,0.0172959384915626
"Pavagv31000348m.g",669.884290081882,-1.29975666179963,0.0829872257947875,-15.6621293138982,2.74549096944215e-55,8.67555902248139e-54
"Pavagv31000391m.g",1238.7392692122,-1.44969548334841,0.0587884061054898,-24.6595473390975,2.90714559478343e-134,2.6211793731099e-132
"Pavagv31000430m.g",51.9023306275118,-1.43890505409987,0.265007972055813,-5.4296670509098,5.64592834721452e-08,3.12559795054862e-07
"Pavagv31000463m.g",106.140956971242,-2.31985987612492,0.207591254571615,-11.1751329838638,5.39694767076227e-29,9.06720730102166e-28
"Pavagv31000470m.g",37.3797626017534,1.54434507021884,0.306498775524025,5.03866636197307,4.68786845607513e-07,2.36174620727093e-06
