"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pavagv31000003m.g",1077.35476511847,0.190783880142403,0.0547721266266084,3.4832293703513,0.000495403717754542,0.00168084929761892
"Pavagv31000012m.g",486.087587197715,-0.343194735642268,0.0783214506499123,-4.38187409444582,1.1766280159136e-05,5.07196991274056e-05
"Pavagv31000016m.g",635.423728992065,-0.170827492634755,0.070660902105493,-2.41756738938485,0.0156246405094226,0.0382263839670199
"Pavagv31000017m.g",113.815136531735,-0.454543637334528,0.158570534692948,-2.86650756532224,0.00415028239520077,0.0117427812246638
"Pavagv31000031m.g",1453.41269162549,-0.326632596412478,0.0466407265186019,-7.00316270335554,2.50247926930604e-12,1.98212479518182e-11
"Pavagv31000032m.g",252.399385463265,-0.614867302301501,0.110353821911343,-5.57178076528677,2.52148600353046e-08,1.44806103841816e-07
"Pavagv31000034m.g",1058.0500703152,-0.178369174000302,0.060704173804318,-2.93833459582666,0.00329980682502697,0.00953900553704762
"Pavagv31000037m.g",241.087737990229,-0.306282308925976,0.112945845818115,-2.71176249739371,0.00669265266979183,0.0180236521371166
"Pavagv31000039m.g",875.377522833924,-0.46518988383328,0.0599983409388457,-7.75337911938984,8.94789651645684e-15,8.2407781026095e-14
"Pavagv31000040m.g",6.19434560258781,-1.68702465648499,0.714299195164467,-2.36178994447355,0.0181869438794927,0.0436115820032269
"Pavagv31000041m.g",166.8422759328,-0.887365795359535,0.13784134861707,-6.43758788101153,1.21387044506078e-10,8.4667307035712e-10
"Pavagv31000042m.g",714.88825562855,0.251870088283795,0.0666970882109056,3.77632809827239,0.000159157312913181,0.000583102554109255
"Pavagv31000045m.g",638.785197148499,-0.354544868811911,0.0688750267408638,-5.14765489886276,2.63763174500962e-07,1.36624475432335e-06
"Pavagv31000047m.g",254.997998509855,-0.897796107304338,0.108380929066753,-8.28370927463977,1.19396875957123e-16,1.22100797647041e-15
"Pavagv31000055m.g",471.124788358149,-0.36229282676636,0.0852046690351938,-4.25203020994912,2.11841274905068e-05,8.85777499599194e-05
"Pavagv31000057m.g",272.358336279004,-1.05643503193848,0.105309462465596,-10.0317199158016,1.1057348842173e-23,1.56264487373008e-22
"Pavagv31000058m.g",936.466793714813,-0.64569694776751,0.0640885633888427,-10.0750728932694,7.12079736161867e-24,1.01107846632243e-22
"Pavagv31000059m.g",1826.52199768165,-0.265448574908095,0.0487861999349444,-5.44105864490505,5.29648732818173e-08,2.93816008490541e-07
"Pavagv31000060m.g",315.771850236854,0.357748302733849,0.0988370588573265,3.61957657249056,0.000295085482912775,0.001034711852127
"Pavagv31000067m.g",133.035635319664,-0.786141376460153,0.146577422265884,-5.36331833584939,8.17068225319355e-08,4.45582226344017e-07
"Pavagv31000070m.g",5.65679998666716,4.74077231138945,1.32600976063972,3.57521675338371,0.000349937854561041,0.00121227830789211
"Pavagv31000071m.g",1657.54734882974,-0.427937035250293,0.0440436203052352,-9.71620934620187,2.57177747263784e-22,3.43525969666079e-21
"Pavagv31000072m.g",333.803308818355,-0.752976849888232,0.0967127083624658,-7.78570740740895,6.93242162369785e-15,6.42174905819874e-14
"Pavagv31000078m.g",93.9929865405411,0.462285973524935,0.189465814501589,2.43994398008438,0.014689539651909,0.0362832031818543
"Pavagv31000086m.g",218.894756779277,-0.668812032786705,0.119355004937113,-5.60355247054026,2.10002504497643e-08,1.21245629544434e-07
"Pavagv31000088m.g",353.04367749027,-0.308538517374058,0.0942571072185436,-3.27337138258108,0.00106272743750012,0.00340468014413606
"Pavagv31000089m.g",1787.16686890743,0.567623675051863,0.0445610254071039,12.7381196879139,3.63039216538282e-37,7.72608006935012e-36
"Pavagv31000090m.g",710.290128119581,-0.193718138331587,0.070282982263439,-2.75625951109304,0.00584665891816531,0.0159824433630575
"Pavagv31000094m.g",229.798781408449,0.288299638965214,0.121236018799025,2.37800318602621,0.0174066755199132,0.0419712217987282
"Pavagv31000103m.g",580.081518610181,0.230468890060088,0.0754838531149314,3.05322106052505,0.00226399091957882,0.00679599271819859
"Pavagv31000104m.g",249.465087013351,-0.813649515658299,0.131567499535376,-6.18427437271107,6.23887750309525e-10,4.11600502039089e-09
"Pavagv31000106m.g",335.734482880853,0.281397985164411,0.0969116860855583,2.90365379584852,0.0036883576646421,0.0105584068653724
"Pavagv31000107m.g",500.200561412294,-0.514357478707637,0.0832036170460519,-6.18191248131615,6.33296346042668e-10,4.17500191667271e-09
"Pavagv31000108m.g",402.153218857133,0.347355795866182,0.0862713796125964,4.0263155339116,5.6657648795896e-05,0.000223858127706718
"Pavagv31000111m.g",179.141285723255,-0.46815477778047,0.128373491541306,-3.64681814103215,0.000265507695092246,0.000938909353451452
"Pavagv31000114m.g",371.860589389186,0.228054667379335,0.0929431162937349,2.45370153781585,0.014139428268277,0.0351007154211292
"Pavagv31000115m.g",310.004391266437,0.26124614528897,0.101015960277005,2.58618682208815,0.00970443150376523,0.0251408071779854
"Pavagv31000117m.g",607.148815502754,-0.16978299651341,0.0729881392637662,-2.32617241960155,0.0200093543822347,0.0474225029952744
"Pavagv31000119m.g",116.414976804457,-0.704419198545248,0.154020990111378,-4.57352727076911,4.79581224394719e-06,2.16203208977546e-05
"Pavagv31000125m.g",866.345446089266,0.814370869102589,0.0666938811245961,12.2105784724268,2.72941622172965e-34,5.34597968005541e-33
"Pavagv31000142m.g",206.229867442961,0.307856878970849,0.13021595391623,2.36420246300156,0.0180689348971978,0.043359352380616
"Pavagv31000143m.g",216.648800402553,0.674351698099076,0.121063582466414,5.57022751483632,2.54406903143185e-08,1.46010021708466e-07
