"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pavagv31000026m.g",10.8964675944732,1.52955960563393,0.564487815900003,2.70964148835568,0.00673559699035151,0.0236366324587465
"Pavagv31000036m.g",4.54106109693141,-2.81572062182219,1.08123939142321,-2.60416022960089,0.00920996885879743,0.0308987695668511
"Pavagv31000040m.g",6.19434560258781,-2.0636174905875,0.762535951916845,-2.70625599409447,0.0068046568506481,0.0238328075817708
"Pavagv31000047m.g",254.997998509855,-1.07604015532868,0.111812322090999,-9.62362765753977,6.3549517386572e-22,1.55702073893966e-20
"Pavagv31000070m.g",5.65679998666716,3.56436671931684,1.3552464215868,2.63005064063809,0.00853721500137348,0.0289304846620084
"Pavagv31000104m.g",249.465087013351,1.45032036483038,0.112712465755516,12.867435337421,6.86437677953345e-38,3.26891773784507e-36
"Pavagv31000119m.g",116.414976804457,-1.24869606237417,0.165060790253141,-7.56506775751616,3.87662481985336e-14,5.9714592683493e-13
"Pavagv31000139m.g",3.36634497531514,-3.19105924867501,1.32497950671731,-2.40838385235179,0.0160233239130312,0.0491957875736187
"Pavagv31000185m.g",4.31809804942274,-5.1742344668712,1.34938419325226,-3.83451539802045,0.000125812091150317,0.000668189918225981
"Pavagv31000209m.g",17.9796920298579,-1.73291820162702,0.433786144115524,-3.99486757503604,6.4730423029302e-05,0.000362278752849077
"Pavagv31000251m.g",12.1596291192806,-4.46732605825869,0.820450596917422,-5.44496655257883,5.18151210658356e-08,4.56381377306997e-07
"Pavagv31000311m.g",3.53345794417894,-5.59824666534232,1.44495198686748,-3.87434787883767,0.000106910600469497,0.000575945993248242
"Pavagv31000318m.g",19.107500198381,1.19649408385911,0.424267902304361,2.82013811877,0.00480029830058701,0.0175796464571592
"Pavagv31000331m.g",65.8979037831526,3.50163934277648,0.293766406874763,11.9198085990454,9.33226862978359e-33,3.75079545567632e-31
"Pavagv31000335m.g",5.20874988458042,-6.16953466203104,1.34004969905981,-4.60395958922988,4.1453293368037e-06,2.820805364307e-05
