,Sample,Condition,Species,Treatment,Trehalose,Sucrose,gamma-aminobutyric acid (GABA)
1,Zm_F_1,Full,Maize,Control,0.012257108975718,7.53596821851669,0.017244273063426
2,Zm_F_2,Full,Maize,Control,0.027644215800021,9.40811041134901,0.085844827549837
3,Zm_F_3,Full,Maize,Control,0.028656095084933,11.4695211736523,0.050132290347439
4,Zm_F_4,Full,Maize,Control,0.021915537459283,10.5138373615635,0.057713583061889
5,Zm_F_5,Full,Maize,Control,0.042806573620059,8.73361625825244,0.047975338092932
6,Zm_FV_1,Full,Maize,ValA,0.176434038476313,11.7603013382197,0.045639158407474
7,Zm_FV_2,Full,Maize,ValA,0.544429980610146,16.6971839741046,0.06844531127964
8,Zm_FV_3,Full,Maize,ValA,0.307061758730515,10.694382342963,0.036798124535238
9,Zm_FV_4,Full,Maize,ValA,0.391634106230848,12.8819832909621,0.055947653690463
10,Zm_FV_5,Full,Maize,ValA,0.247801539042038,11.6403157072254,0.04704244994895
11,Zm_N_1,Ndep,Maize,Control,0.013162019484473,8.95497245179623,1E-05
12,Zm_N_2,Ndep,Maize,Control,0.015286980856502,9.24892111574774,1E-05
13,Zm_N_3,Ndep,Maize,Control,0.02613303682875,9.7883578499417,1E-05
14,Zm_N_4,Ndep,Maize,Control,0.028973263311418,10.9748723615025,0.00080414167793
15,Zm_N_5,Ndep,Maize,Control,0.026939287720679,11.2379226918432,0.0001660528137
16,Zm_NV_1,Ndep,Maize,ValA,0.215371246348588,9.53301876338851,0.019507565725414
17,Zm_NV_2,Ndep,Maize,ValA,0.173138574588429,7.26862313868613,0.013704820994091
18,Zm_NV_3,Ndep,Maize,ValA,0.192896515506311,8.34627477811411,0.019371471243361
19,Zm_NV_4,Ndep,Maize,ValA,0.17158599438934,8.09519084360285,0.01636965477264
20,Zm_NV_5,Ndep,Maize,ValA,0.190233453763899,8.61749552346442,0.011449127500089
21,Sb_F_1,Full,Sorghum,Control,0.011791184477366,3.97357752483415,0.075964697006153
22,Sb_F_2,Full,Sorghum,Control,0.008545314565717,3.10260082195159,0.048453677264881
23,Sb_F_3,Full,Sorghum,Control,0.003738458273913,1.78316378315378,0.038600402226766
24,Sb_F_4,Full,Sorghum,Control,0.008762658188629,2.45519047516442,0.045125270325461
25,Sb_F_5,Full,Sorghum,Control,0.01023398815164,2.20845514161498,0.060048061264303
26,Sb_FV_1,Full,Sorghum,ValA,0.167066656611504,5.48107904231626,0.079248438912539
27,Sb_FV_2,Full,Sorghum,ValA,0.147645695431788,5.05864070442494,0.070250051078011
28,Sb_FV_3,Full,Sorghum,ValA,0.126635675127469,4.82551490387139,0.031930901707804
29,Sb_FV_4,Full,Sorghum,ValA,0.177471056688614,4.54055119158503,0.09460611369841
30,Sb_FV_5,Full,Sorghum,ValA,0.139059923111074,3.981859066073,0.072819630740128
31,Sb_N_1,Ndep,Sorghum,Control,0.058754043240477,9.31232809895417,0.008189550324623
32,Sb_N_2,Ndep,Sorghum,Control,0.060038156340256,9.47517001219141,0.012303000101595
33,Sb_N_3,Ndep,Sorghum,Control,0.055871874672999,8.83414825948136,0.013110173059122
34,Sb_N_4,Ndep,Sorghum,Control,0.086996345588947,10.6387814258046,0.018595170599438
35,Sb_N_5,Ndep,Sorghum,Control,0.06112176217821,10.0516682679011,0.013174576741279
36,Sb_NV_1,Ndep,Sorghum,ValA,0.281199303721724,11.0847346473485,0.011673494928489
37,Sb_NV_2,Ndep,Sorghum,ValA,0.290573073615743,7.73485827605215,0.005515333076096
38,Sb_NV_3,Ndep,Sorghum,ValA,0.340543302282254,8.40617994643689,0.011581378667909
39,Sb_NV_4,Ndep,Sorghum,ValA,0.291933666603079,8.04635830468358,0.006185063764245
40,Sb_NV_5,Ndep,Sorghum,ValA,0.48544967734177,11.5761788035374,0.013756276664632
41,Pv_F_1,Full,Paspalum,Control,0.057497157949149,8.66464993797047,0.052948325848868
42,Pv_F_2,Full,Paspalum,Control,0.073153575271188,13.2578149210689,0.115540470059088
43,Pv_F_3,Full,Paspalum,Control,0.054585647412594,10.9083803603968,0.019380764328352
44,Pv_F_4,Full,Paspalum,Control,0.053040141427932,9.30818636894985,0.09128043381187
45,Pv_F_5,Full,Paspalum,Control,0.059949591214334,9.55634265886631,0.034371162429254
46,Pv_FV_1,Full,Paspalum,ValA,0.118081646962148,10.0186657495984,0.021508530489565
47,Pv_FV_2,Full,Paspalum,ValA,0.113207617395881,10.4694420184357,0.022919041615833
48,Pv_FV_3,Full,Paspalum,ValA,0.154846375828267,12.164401780411,0.026038110359188
49,Pv_FV_4,Full,Paspalum,ValA,0.103301829586504,10.889321152728,0.027513741605874
50,Pv_FV_5,Full,Paspalum,ValA,0.103155138694312,9.9762848669095,0.030144491454189
51,Pv_N_2,Ndep,Paspalum,ValA,0.034930482192685,9.51265587428352,0.034964845981499
52,Pv_N_3,Ndep,Paspalum,ValA,0.034220327360702,9.63748637408331,0.031642267331973
53,Pv_N_4,Ndep,Paspalum,ValA,0.063461517318892,11.3345261020649,0.028786577463611
54,Pv_N_5,Ndep,Paspalum,ValA,0.038314853041695,8.64545087491456,0.03175982911825
55,Pv_NV_1,Ndep,Paspalum,Control,0.045743657944811,11.9553316063283,0.020060021188377
56,Pv_NV_2,Ndep,Paspalum,Control,0.06962441776531,11.6262403091435,0.02927737011324
57,Pv_NV_3,Ndep,Paspalum,Control,0.077383789036645,11.4729626445635,0.055338238762862
58,Pv_NV_4,Ndep,Paspalum,Control,0.087501953909162,10.6784351589766,0.052976266543117
59,Pv_NV_5,Ndep,Paspalum,Control,0.078799334614461,9.00322196939021,0.04473049689441
