,Sobic,Seita,Ortho,Orysa,Bradi,Pavag,Zmays
SynPair37324,0.2478790006436136,0.1094427388594287,0.115766592275307,0.1129134011493784,0.1686378970706692,0.134170898914669,0.2951560818083961
SynPair9635,0.0876595976370021,0.0938465009376894,0.1188861658204186,0.1701784617003564,0.068719659655465,0.2462016076357266,0.1585786500148676
SynPair51381,0.0366464068644976,0.0579863156728127,0.036550349365049,0.0903887344955568,0.1326876527629591,0.0807220037911386,0.1078594946425512
SynPair59446,0.0740006766880951,0.0878205128205128,0.0941503012015578,0.0851465917740623,0.1280787398253975,0.0817824476528838,0.1199747598681904
SynPair7718,0.0928752400800948,0.0924965757065927,0.0651459687477818,0.0799216689313404,0.1149237333605866,0.0650132501452343,0.0509214944098111
SynPair17899,0.0846277069118955,0.1378008236308163,0.1783403981929369,0.1176118346738523,0.1236452286713247,0.1184386773901197,0.1537212038688384
SynPair47393,0.1184303514971173,0.1601352719132164,0.1157683634984934,0.1092008743024622,0.1424818777444761,0.1243685995721525,0.2868128850001962
SynPair41744,0.0539679600742296,0.0463368691242843,0.0503194159080944,0.0336630665186231,0.0830284283999104,0.0954111707329967,0.1566667135377851
SynPair52372,0.020084264947796,0.0259526546498704,0.045586767047141,0.0755109277287086,0.0500985322098396,0.0301709303659515,0.0563003294289897
SynPair9634,0.1751764761995612,0.1479584529920328,0.1246154136544668,0.1804590181046164,0.0629018104583373,0.2212847450373987,0.1239128979604446
SynPair43763,0.1242675390766993,0.0955493607613188,0.1076781890486387,0.1519828117453073,0.0634604254698722,0.2090395235015748,0.1996428859280936
SynPair4727,0.0740389141691511,0.0375639790346938,0.0545477914760647,0.0281774876420435,0.0844510073870112,0.0644147722385537,0.0259767400549628
SynPair25317,0.0946851133091273,0.0885695022282153,0.091642729643395,0.0839694002919558,0.1271275444772243,0.0796924622120369,0.1212061586895568
SynPair45482,0.0455428997038894,0.0517018349001804,0.0837109100554894,0.0890807931285701,0.1573343993772059,0.0935396978405599,0.6056167723061922
SynPair17252,0.0441830006828383,0.0553802950454968,0.044105491585695,0.1001515951291939,0.1388729478220751,0.0629383296331732,0.0852197215625612
SynPair3709,0.1014562456623117,0.1412025910412232,0.1046736792218803,0.0914077753722323,0.0656966779250894,0.2582972259435099,0.1093416675852499
SynPair64590,0.0559208912008637,0.014288989073126,0.1229475534720187,0.1327945724832884,0.0583081232492997,0.1348314606741573,0.0685139381773428
SynPair9636,0.1341729519472511,0.1725349073453154,0.1442514503767098,0.1671415804362116,0.0728058546897107,0.2467542230809132,0.1588188284816787
SynPair18243,0.0250352317002404,0.0247352558207297,0.0450045556023252,0.0769838245354661,0.0494965902205721,0.0320789599762508,0.0631055017331792
SynPair25298,0.1573684471065789,0.055164904060319,0.1049463517326545,0.0439179823892005,0.1204398763959183,0.0730907930277204,0.0799457195114756
SynPair7615,0.0379510602499175,0.0380996694138393,0.0548977892095915,0.0344602792536276,0.0762203220903315,0.1398074737790781,0.1380127891644949
SynPair43765,0.095432195969407,0.1390831005274727,0.1157664826566693,0.1631136584366567,0.0678126863028988,0.2215686554790016,0.14590014640534
SynPair13264,0.1346011816838995,0.1684283486397504,0.1196816873473139,0.1055762901500241,0.1359289435020702,0.1277795629820051,0.1734631202264594
SynPair30461,0.0501481497983826,0.0335716041072325,0.1383164491860924,0.1369617577552696,0.0634782491060195,0.138548037088183,0.08477646933447
SynPair42973,0.234050957930081,0.1580842120970951,0.1950980392156862,0.2884223741605053,0.2546320127100369,0.175143083928646,0.2922506594425037
SynPair43764,0.0800310309159866,0.0874477712525272,0.1121861216312219,0.1614535223979523,0.0635943056392488,0.2077545354739509,0.2345681138949417
SynPair32004,0.1694483859524654,0.1449455433963245,0.1656406177586833,0.117442242786847,0.1251386371312602,0.1619742952546454,0.1388529908571734
