SampleID,Trehalose,Strain,Condition,Treatment,Trehalose_scaled
W22-F1,0.00349125138252,W22,Full,NT,0.349125138252
W22-F2,0.003032115002857,W22,Full,NT,0.3032115002857
W22-F3,0.002541978804215,W22,Full,NT,0.2541978804215
W22-F4,0.002336899342287,W22,Full,NT,0.2336899342287
W22-F5,0.002883775724266,W22,Full,NT,0.2883775724266
W22-F6,0.005019798214313,W22,Full,NT,0.5019798214313
W22-FV1,0.012103633780464,W22,Full,ValA,1.2103633780464
W22-FV2,0.007840908909999,W22,Full,ValA,0.7840908909999
W22-FV3,0.007563285687824,W22,Full,ValA,0.7563285687824
W22-FV4,0.007672354397374,W22,Full,ValA,0.7672354397374
W22-FV5,0.006799315681323,W22,Full,ValA,0.6799315681323
W22-FV6,0.006275087063959,W22,Full,ValA,0.6275087063959
W22--N1,0.004767566932392,W22,N,NT,0.4767566932392
W22--N2,0.005238118413072,W22,N,NT,0.5238118413072
W22--N3,0.003188343303407,W22,N,NT,0.3188343303407
W22--N4,0.00392885519241,W22,N,NT,0.392885519241
W22--N5,0.005015536886811,W22,N,NT,0.5015536886811
W22--N6,0.004220323191091,W22,N,NT,0.4220323191091
W22--NV1,0.038924733781507,W22,N,ValA,3.8924733781507
W22--NV2,0.035690068041972,W22,N,ValA,3.5690068041972
W22--NV3,0.03853840158703,W22,N,ValA,3.853840158703
W22--NV4,0.038856836393238,W22,N,ValA,3.8856836393238
W22--NV5,0.038412041961606,W22,N,ValA,3.8412041961606
W22--NV6,0.038936079221244,W22,N,ValA,3.8936079221244
ATG12-F1,0.002702468354725,ATG12-2,Full,NT,0.2702468354725
ATG12-F2,0.002096003919601,ATG12-2,Full,NT,0.2096003919601
ATG12-F3,0.002148177461748,ATG12-2,Full,NT,0.2148177461748
ATG12-F4,0.003230324559261,ATG12-2,Full,NT,0.3230324559261
ATG12-F5,0.00275352390813,ATG12-2,Full,NT,0.275352390813
ATG12-F6,0.003427548594641,ATG12-2,Full,NT,0.3427548594641
ATG12-FV1,0.005831763460026,ATG12-2,Full,ValA,0.5831763460026
ATG12-FV2,0.005672323890084,ATG12-2,Full,ValA,0.5672323890084
ATG12-FV3,0.004894589980735,ATG12-2,Full,ValA,0.4894589980735
ATG12-FV4,0.005131161119403,ATG12-2,Full,ValA,0.5131161119403
ATG12-FV5,0.004990811117336,ATG12-2,Full,ValA,0.4990811117336
ATG12-FV6,0.004887675730516,ATG12-2,Full,ValA,0.4887675730516
ATG12--N1,0.000788360464833,ATG12-2,N,NT,0.0788360464833
ATG12--N2,0.000887795482568,ATG12-2,N,NT,0.0887795482568
ATG12--N3,0.000959132065439,ATG12-2,N,NT,0.0959132065439
ATG12--N4,0.00115690416946,ATG12-2,N,NT,0.115690416946
ATG12--N5,0.000828186960408,ATG12-2,N,NT,0.0828186960408
ATG12--N6,0.001086533400559,ATG12-2,N,NT,0.1086533400559
ATG12--NV1,0.010197111050213,ATG12-2,N,ValA,1.0197111050213
ATG12--NV2,0.009251694333562,ATG12-2,N,ValA,0.9251694333562
ATG12--NV3,0.009963150143845,ATG12-2,N,ValA,0.9963150143845
ATG12--NV4,0.009916433583512,ATG12-2,N,ValA,0.9916433583512
ATG12--NV5,0.008970050100275,ATG12-2,N,ValA,0.8970050100275
ATG12--NV6,0.009192683420559,ATG12-2,N,ValA,0.9192683420559
