Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000002	 du1;dull endosperm1: glassy, tarnished endosperm; encodes a starch synthase III, that with an isoamylase-type debranching enzyme represses accumulation of phytoglycogen	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000004	Postsynaptic protein CRIPT  	 [source: RefGen_v3] 
Zm00001d000005	myosin heavy chain-related	[source:homolog]
Zm00001d000006	Germin-like protein subfamily 1 member 11  	 [source: RefGen_v3] 
Zm00001d000008	Germin-like protein subfamily 1 member 8	[source:homolog]
Zm00001d000011	glyoxalase I homolog	[source:homolog]
Zm00001d000012	Germin-like protein subfamily 1 member 8	[source:homolog]
Zm00001d000013	Reverse transcriptase	[source:homolog]
Zm00001d000016	Fatty acid desaturase 4 chloroplastic	[source:homolog]
Zm00001d000017	Germin-like protein  	 [source: RefGen_v3] 
Zm00001d000018	Germin-like protein subfamily 1 member 8	[source:homolog]
Zm00001d000020	Fatty acid desaturase 4 chloroplastic	[source:homolog]
Zm00001d000021	 gpt1;glucose 6-phosphate/phosphate translocator1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000023	Polyadenylation and cleavage factor homolog 5	[source:homolog]
Zm00001d000026	UDP-N-acetylglucosamine (UAA) transporter family	[source:homolog]
Zm00001d000027	Pleiotropic drug resistance ABC transporter family protein	[source:homolog]
Zm00001d000028	hydroxyproline-rich glycoprotein family protein	[source:homolog]
Zm00001d000029	Dual-specificity protein-like phosphatase 1%3B Protein-tyrosine phosphatase mitochondrial 1  	 [source: RefGen_v3] 
Zm00001d000030	RNA-binding KH domain-containing protein PEPPER	[source:homolog]
Zm00001d000032	Protein TAPETUM DETERMINANT 1	[source:homolog]
Zm00001d000034	Protein kinase superfamily protein	[source:homolog]
Zm00001d000037	Phospholipase A1-Ibeta2 chloroplastic	[source:homolog]
Zm00001d000038	Serine/threonine-protein kinase D6PKL1	[source:homolog]
Zm00001d000040	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d000041	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d000042	Protein ARABIDILLO 1	[source:homolog]
Zm00001d000044	U-box domain-containing protein 31	[source:homolog]
Zm00001d000045	FRIGIDA interacting protein 2	[source:homolog]
Zm00001d000046	 cbl9;calcineurin B-like9:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000052	Casein kinase II subunit beta-1	[source:homolog]
Zm00001d000053	Histone H3 K4-specific methyltransferase SET7/9 family protein	[source:homolog]
Zm00001d000055	 brl2;bri1-like receptor kinase2: Encodes a brassinosteroid insensitive1-like receptor kinase.	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000058	CRIB domain-containing protein RIC10	[source:homolog]
