	Sobic	Seita	Ortho	Orysa	Bradi	Pavag	Zmays
SynPair9073	0.147916	0.287756	0.85847	0.720603	0.676878	0.320329	0.234058
SynPair65064	0.141925	0.145625	0.337687	0.36688	0.372687	0.250523	0.127727
SynPair38235	0.115132	0.139414	0.28273	0.201326	0.316507	0.134674	0.113717
SynPair25526	0.031134	0.088488	0.305132	0.259232	0.191036	0.109585	0.077142
SynPair45313	0.188361	0.209792	1.399226	0.792904	0.919611	0.3739	0.2726
SynPair25442	0.073724	0.130024	0.247114	0.176486	0.253985	0.087159	0.194499
SynPair65100	0.079248	0.139848	0.249537	0.28087	0.2315	0.162048	0.190346
SynPair22423	0.546974	0.311431	0.968176	0.951662	0.806384	0.402323	0.521302
SynPair43128	0.047698	0.122473	0.306291	0.211319	0.18432	0.128108	0.10497
SynPair59492	0.053732	0.144168	0.502734	0.186817	0.236665	0.119632	0.611146
SynPair31296	0.14567	0.234286	0.388833	0.377811	0.458408	0.426421	0.196391
SynPair37301	0.193616	0.28039	0.873716	0.659504	0.888613	0.394451	0.263488
SynPair6147	0.079127	0.127861	0.359715	0.167182	0.32286	0.183417	0.092727
SynPair57450	0.032832	0.077159	0.237533	0.216871	0.217931	0.125544	0.235632
SynPair29619	0.053185	0.192637	0.382743	0.327989	0.279398	0.122906	0.078465
SynPair2081	0.037651	0.123112	0.346574	0.302323	0.349756	0.187288	0.090305
SynPair17112	0.132624	0.219585	0.48045	0.535612	0.738311	0.299727	0.248263
SynPair57948	0.084734	0.24996	0.479838	0.278088	0.322488	0.057872	0.17127
SynPair5228	0.069139	0.061126	0.180026	0.149454	0.151856	0.11162	0.047812
SynPair57534	0.337223	0.239853	0.338595	0.612323	0.587899	0.406325	0.343398
SynPair10017	0.070543	0.125974	0.36979	0.230282	0.751254	0.124994	0.111988
SynPair32255	0.043202	0.131867	0.181541	0.262378	0.141916	0.122758	0.07217
SynPair57698	0.168196	0.192229	0.353731	0.353563	0.601141	0.217503	0.140003
SynPair1042	0.329877	0.82396	0.275115	0.533351	1.679019	0.1993	0.125323
SynPair11329	0.102449	0.360805	0.376579	0.20087	0.855079	0.058982	0.209097
SynPair10173	0.198283	0.361153	0.464362	0.455405	0.469237	0.384428	0.250403
SynPair41132	0.191689	0.245117	0.647235	0.489381	0.83401	0.326532	0.15044
SynPair63370	0.164707	0.502351	0.917064	0.922399	0.496284	0.193521	0.383196
SynPair21663	0.438184	0.22893	0.397156	0.847491	0.408677	0.156558	0.053779
SynPair43163	0.267328	0.140895	1.026724	0.086273	1.369331	0.109731	0.262571
SynPair39388	0.119673	0.143065	0.207134	0.186853	0.24699	0.128199	0.117635
SynPair9394	0.158877	0.180104	0.549306	0.710063	0.555269	0.259366	0.091419
SynPair44066	0.13953	0.189077	0.324372	0.670833	1.408914	0.459779	0.19192
SynPair27940	0.08426	0.11307	0.320901	0.285594	0.227867	0.151165	0.110946
SynPair9038	0.10373	0.192397	0.813286	0.409195	0.320703	0.225646	0.104365
SynPair18109	0.041643	0.086352	0.239372	0.312997	0.255802	0.116447	0.088396
SynPair25409	0.05798	0.105869	0.324208	0.267447	0.233571	0.0969	0.078226
SynPair47309	0.209281	0.18876	1.609327	0.347915	0.56146	0.2908	0.156119
SynPair4395	0.111698	0.25706	0.78901	0.500997	0.968699	0.213088	0.308473
SynPair56489	0.048656	0.053515	0.368931	0.156676	0.169595	0.106624	0.086427
SynPair17391	0.112359	0.203814	0.479299	0.423765	0.66253	0.139965	0.112998
SynPair13257	0.085249	0.112179	0.248788	0.356849	0.201793	0.175314	0.299183
SynPair37182	0.061494	0.143956	0.211494	0.217195	0.193339	0.136528	0.115231
SynPair55682	0.074549	0.167898	0.243482	0.298982	0.288259	0.169603	0.151084
SynPair1009	0.049954	0.191555	0.500558	0.367329	0.401298	0.141983	0.08126
SynPair2366	0.207372	0.402757	0.586839	0.939603	0.799421	0.368575	0.421652
SynPair51620	0.047876	0.122256	0.240857	0.312816	0.237365	0.210733	0.051707
SynPair29982	0.03934	0.085961	0.251315	0.123364	0.811751	0.12791	0.224394
SynPair31171	0.05734	0.11123	0.225688	0.207225	0.200994	0.144733	0.105286
SynPair14352	0.02143	0.061899	0.115331	0.20894	0.303938	0.121744	0.111159
SynPair57867	0.062067	0.109509	0.318286	0.253541	0.307015	0.111149	0.123867
SynPair7356	0.025429	0.161208	0.219249	0.288012	0.160666	0.203532	0.144822
SynPair17159	0.124085	0.169052	0.396114	0.445349	0.519944	0.252505	0.191746
SynPair28408	0.068004	0.104322	0.26567	0.233071	0.363099	0.096951	0.121419
SynPair56641	0.055455	0.091697	0.241423	0.237828	0.185735	0.12565	0.113845
SynPair51894	0.092444	0.134896	0.375103	0.431791	0.457543	0.250303	0.190372
SynPair14236	0.077966	0.123305	0.287354	0.208549	0.255121	0.153311	0.069843
SynPair6068	0.04052	0.148749	0.310968	0.265667	0.252631	0.739986	0.956568
SynPair4039	0.010851	0.038348	0.290117	0.122584	1.164626	0.217899	0.068816
SynPair55952	0.295908	0.071618	0.734037	0.585934	0.294595	0.315855	0.265862
SynPair29736	0.016043	0.095341	0.239084	0.264803	0.158121	0.109783	0.091257
SynPair5263	0.210759	0.243636	0.522662	0.92441	1.695461	0.356671	0.353686
SynPair35723	0.048746	0.123501	0.304972	0.16764	0.268188	0.098863	0.084513
SynPair17561	0.029317	0.069703	0.21009	0.219594	0.123455	0.159494	0.150429
SynPair15530	0.039043	0.202973	0.166403	0.279721	0.247547	0.126209	0.087656
SynPair48761	0.047054	0.091785	0.217494	0.231982	0.201908	0.157276	0.288754
SynPair6534	0.075678	0.079506	0.203724	0.213401	0.22614	0.08465	0.051399
SynPair4919	0.062155	0.154371	0.257652	0.207456	0.219586	0.165701	0.117965
SynPair32892	0.192523	0.305026	0.504299	0.447743	0.897155	0.275453	0.275707
SynPair15828	0.027231	0.112426	0.211161	0.257407	0.188224	0.133807	0.12277
SynPair17405	0.064285	0.181288	0.605615	0.595024	0.735563	0.262377	0.184312
SynPair4401	0.045534	0.100635	0.316368	0.276554	0.303645	0.113808	0.090587
SynPair11592	0.144109	0.200746	0.415726	0.359944	0.407935	0.252141	0.215799
SynPair15454	0.07329	0.441552	0.418781	0.548433	1.250128	0.204841	0.309817
SynPair31781	0.059261	0.136279	0.220065	0.262125	0.138053	0.113895	0.063782
SynPair35997	0.08423	0.218957	0.358005	0.366545	0.412753	0.133419	0.095942
SynPair1431	0.09945	0.303857	0.405799	0.343116	0.851164	0.355336	0.134769
SynPair52177	0.232369	0.113766	0.305869	0.176977	0.250379	0.224874	0.801193
