CommonID,sorghum3,maize4,paspalum3,subgenome
gene1,Sobic.001G000100,Zm00001d034942,Pavagv31000001m,maize1
gene2,Sobic.001G000200,Zm00001d034941,Pavagv31000003m,maize1
gene3,Sobic.001G000400,Zm00001d034940,Pavagv31000008m,maize1
gene4,Sobic.001G000700,Zm00001d034937,Pavagv31000010m,maize1
gene5,Sobic.001G000800,Zm00001d034935,Pavagv31000012m,maize1
gene6,Sobic.001G000900,Zm00001d034936,Pavagv31000013m,maize1
gene7,Sobic.001G001000,Zm00001d034934,Pavagv31000014m,maize1
gene8,Sobic.001G001132,Zm00001d034934,Pavagv31000014m,maize1
gene9,Sobic.001G001200,Zm00001d034933,Pavagv31000015m,maize1
gene10,Sobic.001G001300,Zm00001d034932,Pavagv31000017m,maize1
gene11,Sobic.001G001400,Zm00001d034931,Pavagv31000019m,maize1
gene12,Sobic.001G001900,Zm00001d034929,Pavagv31000022m,maize1
gene13,Sobic.001G002200,Zm00001d034927,Pavagv31000025m,maize1
gene14,Sobic.001G002500,Zm00001d034920,Pavagv31000026m,maize1
gene15,Sobic.001G003100,Zm00001d034919,Pavagv31000034m,maize1
gene16,Sobic.001G003300,Zm00001d034918,Pavagv31000037m,maize1
gene17,Sobic.001G003500,Zm00001d034918,Pavagv31000039m,maize1
gene18,Sobic.001G003600,Zm00001d034917,Pavagv31000040m,maize1
gene19,Sobic.001G003700,Zm00001d034916,Pavagv31000041m,maize1
gene20,Sobic.001G004100,Zm00001d034915,Pavagv31000045m,maize1
gene21,Sobic.001G004400,Zm00001d034914,Pavagv31000049m,maize1
gene22,Sobic.001G004800,Zm00001d034901,Pavagv31000053m,maize1
gene23,Sobic.001G005000,Zm00001d034901,Pavagv31000053m,maize1
gene24,Sobic.001G005200,Zm00001d034900,Pavagv31000055m,maize1
gene25,Sobic.001G005300,Zm00001d034898,Pavagv31000057m,maize1
gene26,Sobic.001G005500,Zm00001d034897,Pavagv31000058m,maize1
gene27,Sobic.001G005600,Zm00001d034896,Pavagv31000059m,maize1
gene28,Sobic.001G005800,Zm00001d034894,Pavagv31000061m,maize1
gene29,Sobic.001G005900,Zm00001d034893,Pavagv31000066m,maize1
gene30,Sobic.001G006000,Zm00001d034892,Pavagv31000067m,maize1
gene31,Sobic.001G006400,Zm00001d034890,Pavagv31000071m,maize1
gene32,Sobic.001G006600,Zm00001d034888,Pavagv31000074m,maize1
gene33,Sobic.001G007200,Zm00001d034886,Pavagv31000084m,maize1
gene34,Sobic.001G007600,Zm00001d034885,Pavagv31000089m,maize1
gene35,Sobic.001G007700,Zm00001d034884,Pavagv31000090m,maize1
gene36,Sobic.001G008000,Zm00001d034882,Pavagv31000092m,maize1
gene37,Sobic.001G008100,Zm00001d034880,Pavagv31000093m,maize1
gene38,Sobic.001G008200,Zm00001d034879,Pavagv31000094m,maize1
gene39,Sobic.001G008300,Zm00001d034878,Pavagv31000099m,maize1
gene40,Sobic.001G008400,Zm00001d034877,Pavagv31000100m,maize1
gene41,Sobic.001G008500,Zm00001d034876,Pavagv31000103m,maize1
gene42,Sobic.001G008600,Zm00001d034875,Pavagv31000104m,maize1
gene43,Sobic.001G008900,Zm00001d034874,Pavagv31000108m,maize1
gene44,Sobic.001G009200,Zm00001d034872,Pavagv31000111m,maize1
gene45,Sobic.001G009300,Zm00001d034871,Pavagv31000112m,maize1
gene46,Sobic.001G009400,Zm00001d034870,Pavagv31000113m,maize1
gene47,Sobic.001G009500,Zm00001d034869,Pavagv31000114m,maize1
gene48,Sobic.001G009600,Zm00001d034868,Pavagv31000115m,maize1
gene49,Sobic.001G009800,Zm00001d034867,Pavagv31000116m,maize1
gene50,Sobic.001G009900,Zm00001d034866,Pavagv31000117m,maize1
gene51,Sobic.001G010000,Zm00001d034865,Pavagv31000118m,maize1
gene52,Sobic.001G010100,Zm00001d034865,Pavagv31000119m,maize1
gene53,Sobic.001G010200,Zm00001d034863,Pavagv31000120m,maize1
gene54,Sobic.001G010300,Zm00001d034862,Pavagv31000121m,maize1
gene55,Sobic.001G010400,Zm00001d034859,Pavagv31000122m,maize1
gene56,Sobic.001G010500,Zm00001d034858,Pavagv31000123m,maize1
gene57,Sobic.001G010600,Zm00001d034858,Pavagv31000124m,maize1
gene58,Sobic.001G010900,Zm00001d034857,Pavagv31000126m,maize1
gene59,Sobic.001G011000,Zm00001d034856,Pavagv31000127m,maize1
gene60,Sobic.001G011200,Zm00001d034855,Pavagv31000131m,maize1
gene61,Sobic.001G011300,Zm00001d034853,Pavagv31000139m,maize1
gene62,Sobic.001G011600,Zm00001d034852,Pavagv31000143m,maize1
gene63,Sobic.001G011700,Zm00001d034851,Pavagv31000144m,maize1
gene64,Sobic.001G011800,Zm00001d034849,Pavagv31000145m,maize1
gene65,Sobic.001G012000,Zm00001d034848,Pavagv31000152m,maize1
gene66,Sobic.001G012200,Zm00001d034848,Pavagv31000152m,maize1
gene67,Sobic.001G012700,Zm00001d034844,Pavagv31000154m,maize1
gene68,Sobic.001G012900,Zm00001d034842,Pavagv31000155m,maize1
gene69,Sobic.001G013100,Zm00001d034841,Pavagv31000157m,maize1
gene70,Sobic.001G013400,Zm00001d034840,Pavagv31000159m,maize1
gene71,Sobic.001G013800,Zm00001d034839,Pavagv31000160m,maize1
gene72,Sobic.001G013900,Zm00001d034838,Pavagv31000162m,maize1
gene73,Sobic.001G014000,Zm00001d034836,Pavagv31000164m,maize1
gene74,Sobic.001G014100,Zm00001d034835,Pavagv31000166m,maize1
gene75,Sobic.001G014200,Zm00001d034834,Pavagv31000168m,maize1
gene76,Sobic.001G014800,Zm00001d034833,Pavagv31000170m,maize1
gene77,Sobic.001G014900,Zm00001d034832,Pavagv31000171m,maize1
gene78,Sobic.001G015000,Zm00001d034830,Pavagv31000175m,maize1
gene79,Sobic.001G015100,Zm00001d034829,Pavagv31000176m,maize1
gene80,Sobic.001G015200,Zm00001d034828,Pavagv31000177m,maize1
gene81,Sobic.001G015300,Zm00001d034827,Pavagv31000180m,maize1
gene82,Sobic.001G015600,Zm00001d034822,Pavagv31000182m,maize1
gene83,Sobic.001G015700,Zm00001d034818,Pavagv31000185m,maize1
gene84,Sobic.001G015800,Zm00001d034817,Pavagv31000186m,maize1
gene85,Sobic.001G016000,Zm00001d034814,Pavagv31000188m,maize1
gene86,Sobic.001G016600,Zm00001d034813,Pavagv31000194m,maize1
gene87,Sobic.001G016900,Zm00001d034809,Pavagv31000202m,maize1
