	Sobic	Seita	Ortho	Orysa	Bradi	Pavag	Zmays
SynPair9073	0.022286	0.041832	0.072406	0.056671	0.075779	0.040863	0.032779
SynPair65064	0.020433	0.023996	0.071378	0.098202	0.085035	0.031091	0.047025
SynPair38235	0.047961	0.021765	0.038577	0.041588	0.061427	0.017118	0.005771
SynPair25526	0.023142	0.053059	0.136332	0.171593	0.140739	0.06019	0.04899
SynPair45313	0.024721	0.108603	0.16859	0.142913	0.23384	0.111175	0.028139
SynPair25442	0.017057	0.030241	0.070555	0.067095	0.05568	0.02915	0.149036
SynPair65100	0.00704	0.019418	0.034855	0.033386	0.030126	0.011955	0.0142
SynPair22423	0.026755	0.031431	0.096054	0.061888	0.096677	0.063358	0.05269
SynPair43128	0.023951	0.065707	0.11414	0.073619	0.069562	0.067787	0.045988
SynPair59492	0.008186	0.013861	0.045028	0.03556	0.039979	0.016314	0.035682
SynPair31296	0.00728	0.010563	0.0163	0.014527	0.025249	0.021151	0.003247
SynPair37301	0.007811	0.009515	0.102466	0.102625	0.110209	0.022052	0.023447
SynPair6147	0.010195	0.025934	0.036847	0.077789	0.056381	0.038364	0.023542
SynPair57450	0.006281	0.011465	0.031549	0.019785	0.043218	0.011318	0.027499
SynPair29619	0.013905	0.085708	0.064613	0.086098	0.09748	0.043042	0.01727
SynPair2081	0.01983	0.02869	0.088266	0.070021	0.073635	0.055811	0.025893
SynPair17112	0.011178	0.01748	0.033798	0.00881	0.070544	0.031591	0.014414
SynPair57948	0.023602	0.028181	0.051359	0.059794	0.112813	0.044521	0.02372
SynPair5228	0.007218	0.011974	0.036127	0.042393	0.027684	0.018171	0.008287
SynPair57534	0.066881	0.033912	0.062635	0.099624	0.075678	0.05149	0.072547
SynPair10017	0.006927	0.013827	0.035735	0.014756	0.045548	0.011392	0.010748
SynPair32255	0.007897	0.026644	0.084814	0.054939	0.04069	0.012684	0.00692
SynPair57698	0.020877	0.02229	0.016201	0.038549	0.076178	0.024575	0.016919
SynPair1042	0.03633	0.134493	0.068503	0.042877	0.103331	0.030114	0.07425
SynPair11329	0.013448	0.022533	0.037992	0.059056	0.146538	0.024027	2.1e-05
SynPair10173	0.042117	0.066175	0.133588	0.062288	0.090312	0.110113	0.057505
SynPair41132	0.01099	0.004145	0.032265	0.028624	0.019401	0.008122	0.011132
SynPair63370	0.033967	0.019274	0.052912	0.086054	0.079742	0.014258	0.109623
SynPair21663	0.026435	0.089996	0.068171	0.02962	0.107816	0.022927	0.040517
SynPair43163	0.040869	0.058549	0.155708	0.130155	0.137098	0.047905	0.044785
SynPair39388	0.049157	0.016474	0.039667	0.022899	0.037967	0.006244	0.016999
SynPair9394	0.011158	0.015888	0.085059	0.093129	0.094792	0.023418	0.028162
SynPair44066	0.009887	0.01192	0.074798	0.046155	0.14567	0.045227	0.050855
SynPair27940	0.011942	0.023301	0.036037	0.052336	0.055655	0.022053	0.019073
SynPair9038	0.01968	0.011943	0.057816	0.040081	0.047602	0.024973	0.017796
SynPair18109	0.014827	0.013147	0.075051	0.056081	0.052177	0.023915	0.021536
SynPair25409	0.007031	0.014212	0.039306	0.029957	0.042454	0.012403	0.018349
SynPair47309	0.003901	0.016059	0.122837	0.035386	0.023554	0.01099	0.018418
SynPair4395	0.000569	0.007432	0.011109	0.005181	0.007182	0.005669	0.004134
SynPair56489	0.007004	0.014395	0.178931	0.036939	0.031442	0.018341	0.051041
SynPair17391	0.007901	0.019259	0.027401	0.045483	0.062233	0.026561	0.015798
SynPair13257	0.013217	0.047714	0.024576	0.060946	0.067363	0.058897	0.021355
SynPair37182	0.002443	0.009139	0.010584	0.006315	0.014339	0.001244	0.004833
SynPair55682	7e-06	0.010256	0.010126	0.012339	0.041365	0.006955	0.006016
SynPair1009	0.009132	0.014172	0.055065	0.049929	0.041066	0.02911	0.02399
SynPair2366	0.008867	0.0227	0.049995	0.074548	0.044642	0.037407	0.02062
SynPair51620	0.010308	0.018773	0.038897	0.029174	0.05719	0.033236	0.01293
SynPair29982	0.008412	0.025558	0.085761	0.033215	0.144086	0.040821	0.016729
SynPair31171	0.017537	0.032848	0.075643	0.073351	0.066717	0.046612	0.030738
SynPair14352	0.018265	0.035904	0.084904	0.06955	0.035246	0.036241	0.009228
SynPair57867	0.017903	0.055847	0.12621	0.108799	0.084343	0.040835	0.043003
SynPair7356	3e-06	1.6e-05	0.015073	0.018794	0.025496	0.009019	0.009146
SynPair17159	0.027531	0.041174	0.109027	0.110619	0.108845	0.060799	0.048045
SynPair28408	0.005755	0.017189	0.027149	0.033534	0.03881	0.021188	0.003846
SynPair56641	0.005454	0.012853	0.028437	0.033475	0.039175	0.012499	0.036371
SynPair51894	0.022823	0.017075	0.048352	0.024574	0.049641	0.043817	0.046427
SynPair14236	0.020076	0.027513	0.074496	0.076611	0.059803	0.032336	0.028561
SynPair6068	0.020194	0.027509	0.06228	0.056448	0.075961	0.083583	0.086978
SynPair4039	0.004587	0.037389	0.132585	0.078024	0.253216	0.018662	0.009245
SynPair55952	0.043141	0.052168	0.074135	0.069106	0.057167	0.05099	0.050713
SynPair29736	0.014478	0.003057	0.023225	0.033264	0.032343	0.036212	0.008625
SynPair5263	0.016722	0.035709	0.045022	0.085277	0.209098	0.057428	0.051542
SynPair35723	0.012655	0.013769	0.039669	0.027764	0.050997	0.025583	0.024015
SynPair17561	0.003174	0.01865	0.060028	0.022184	0.039746	0.03522	0.090499
SynPair15530	0.017294	0.022781	0.047881	0.05115	0.078055	0.053487	0.02919
SynPair48761	0.015129	0.026727	0.050292	0.036706	0.058462	0.037441	0.038587
SynPair6534	8e-06	8e-06	2e-05	0.002326	2.3e-05	8e-06	5e-06
SynPair4919	6e-06	0.002026	0.020733	0.024532	0.016206	0.00547	0.01134
SynPair32892	0.008434	0.024098	0.025177	0.033236	0.030123	0.019046	0.01555
SynPair15828	0.003703	0.000582	0.014398	0.016413	0.020352	0.006618	0.011566
SynPair17405	6e-06	0.017001	0.027429	0.0356	0.037413	0.012021	0.004704
SynPair4401	0.015289	0.008463	0.037777	0.044453	0.0504	0.022199	0.007098
SynPair11592	0.023565	0.015947	0.094061	0.081442	0.126557	0.086684	0.067853
SynPair15454	0.023576	0.081233	0.206886	0.181142	0.193774	0.055349	0.060147
SynPair31781	0.005866	0.019622	0.029918	0.028815	0.038071	0.017858	0.006132
SynPair35997	0.008126	0.0146	0.054134	0.029739	0.048342	0.012525	0.015837
SynPair1431	0.009562	0.010619	0.031449	0.022983	0.04875	0.014636	0.00845
SynPair52177	2.3e-05	0.033965	0.073247	0.056876	0.039954	0.012991	0.190283
SynPair10818	0.012336	0.017662	0.036403	0.048944	0.045427	0.022214	0.029281
SynPair12849	0.004366	0.017946	0.048472	0.02745	0.045232	0.020534	0.271414
SynPair10464	0.028861	0.024114	0.045112	0.069695	0.037998	0.047584	0.018254
SynPair50126	0.001248	0.004422	0.131215	0.057424	0.034764	0.011864	0.017781
SynPair30713	0.003293	0.007319	0.01101	0.003651	0.038662	0.001493	0.007033
SynPair3978	0.028939	0.037078	0.060367	0.060329	0.043714	0.050761	0.036525
SynPair50042	6e-06	0.001429	0.014598	0.004392	0.017373	0.00143	0.001431
SynPair31935	0.018409	0.012548	0.037173	0.029024	0.035449	0.016771	0.00829
SynPair5493	0.013981	0.033763	0.074276	0.074399	0.090804	0.069559	0.040833
SynPair38646	0.003777	0.024657	0.025405	0.021846	0.019577	0.017562	0.019349
SynPair22298	0.0056	0.020571	0.058029	0.047627	0.053255	0.027567	0.016764
SynPair63580	0.011418	0.013334	0.041181	0.045226	0.075618	0.016905	0.033311
SynPair46873	0.00874	0.023983	0.071665	0.051393	0.062476	0.041493	0.017829
SynPair39578	0.006786	0.018423	0.046249	0.054909	0.043919	0.028784	0.082529
SynPair47731	0.014749	0.015216	0.046958	0.045764	0.065627	0.02584	0.030596
SynPair38722	0.007447	0.034805	0.087907	0.064327	0.06693	0.034381	0.01462
SynPair63898	0.023506	0.035746	0.164875	0.06388	0.060197	0.038272	0.040322
SynPair26196	0.015051	0.00907	0.021251	0.030624	0.046246	0.012916	0.019819
SynPair8492	0.010504	0.021345	0.034663	0.027702	0.050035	0.010489	0.013439
