CommonID,Sorghum,Setaria,Oropetium,Rice,Brachy,Paspalum,Maize
SynPair6,Sobic.001G000800,Seita.9G001300,Ot_Chr4_23633,LOC_Os03g64400,Bradi1g00480,Pavagv31000012m,Zm00001d034935
SynPair7,Sobic.001G000900,Seita.9G001400,Ot_Chr4_23632,LOC_Os03g64390,Bradi1g00482,Pavagv31000013m,Zm00001d034936
SynPair8,Sobic.001G001000,Seita.9G001500,Ot_Chr4_23630,LOC_Os03g64380,Bradi1g00485,Pavagv31000014m,Zm00001d034934
SynPair10,Sobic.001G001132,Seita.9G001500,Ot_Chr4_23630,LOC_Os03g64380,Bradi1g00485,Pavagv31000014m,Zm00001d034934
SynPair11,Sobic.001G001200,Seita.9G001600,Ot_Chr4_n35627,LOC_Os03g64370,Bradi1g00491,Pavagv31000015m,Zm00001d034933
SynPair12,Sobic.001G001300,Seita.9G001700,Ot_Chr4_23628,LOC_Os03g64350,Bradi1g00530,Pavagv31000017m,Zm00001d034932
SynPair13,Sobic.001G001400,Seita.9G001800,Ot_Chr4_23627,LOC_Os03g64320,Bradi1g00560,Pavagv31000019m,Zm00001d034931
SynPair16,Sobic.001G001900,Seita.9G002000,Ot_Chr4_23625,LOC_Os03g64300,Bradi1g00567,Pavagv31000022m,Zm00001d034929
SynPair20,Sobic.001G002200,Seita.9G002200,Ot_Chr4_23623,LOC_Os03g64290,Bradi1g00607,Pavagv31000025m,Zm00001d034927
SynPair30,Sobic.001G003100,Seita.9G002600,Ot_Chr4_n35080,LOC_Os03g64210,Bradi1g00730,Pavagv31000034m,Zm00001d034919
SynPair32,Sobic.001G003300,Seita.9G002800,Ot_Chr4_n35081,LOC_Os03g64200,Bradi1g00760,Pavagv31000037m,Zm00001d034918
SynPair34,Sobic.001G003500,Seita.9G002900,Ot_Chr4_23614,LOC_Os03g64190,Bradi1g00820,Pavagv31000039m,Zm00001d034918
SynPair35,Sobic.001G003600,Seita.9G003000,Ot_Chr4_23613,LOC_Os03g64170,Bradi1g00790,Pavagv31000040m,Zm00001d034917
SynPair36,Sobic.001G003700,Seita.9G003100,Ot_Chr4_23612,LOC_Os03g64150,Bradi1g00780,Pavagv31000041m,Zm00001d034916
SynPair39,Sobic.001G004100,Seita.9G003400,Ot_Chr4_23608,LOC_Os03g64110,Bradi1g00847,Pavagv31000045m,Zm00001d034915
SynPair47,Sobic.001G004800,Seita.9G004100,Ot_Chr4_23597,LOC_Os03g64050,Bradi1g00931,Pavagv31000053m,Zm00001d034901
SynPair49,Sobic.001G005000,Seita.9G004300,Ot_Chr4_23596,LOC_Os03g64030,Bradi1g00931,Pavagv31000053m,Zm00001d034901
SynPair51,Sobic.001G005200,Seita.9G004200,Ot_Chr4_23595,LOC_Os03g64020,Bradi1g00940,Pavagv31000055m,Zm00001d034900
SynPair52,Sobic.001G005300,Seita.9G004400,Ot_Chr4_23593,LOC_Os03g63970,Bradi1g00950,Pavagv31000057m,Zm00001d034898
SynPair54,Sobic.001G005500,Seita.9G004600,Ot_Chr4_23592,LOC_Os03g63950,Bradi1g00980,Pavagv31000058m,Zm00001d034897
SynPair55,Sobic.001G005600,Seita.9G004700,Ot_Chr4_23591,LOC_Os03g63940,Bradi1g00990,Pavagv31000059m,Zm00001d034896
SynPair59,Sobic.001G006000,Seita.9G005100,Ot_Chr4_23586,LOC_Os03g63910,Bradi1g01021,Pavagv31000067m,Zm00001d034892
SynPair63,Sobic.001G006400,Seita.9G005400,Ot_Chr4_23581,LOC_Os03g63860,Bradi1g01047,Pavagv31000071m,Zm00001d034890
SynPair65,Sobic.001G006600,Seita.9G005600,Ot_Chr4_23580,LOC_Os03g63810,Bradi1g01058,Pavagv31000074m,Zm00001d034888
SynPair71,Sobic.001G007200,Seita.9G005900,Ot_Chr4_23576,LOC_Os03g63750,Bradi1g01130,Pavagv31000084m,Zm00001d034886
SynPair75,Sobic.001G007600,Seita.9G006300,Ot_Chr4_23572,LOC_Os03g63710,Bradi1g01090,Pavagv31000089m,Zm00001d034885
SynPair76,Sobic.001G007700,Seita.9G006400,Ot_Chr4_23571,LOC_Os03g63700,Bradi1g01080,Pavagv31000090m,Zm00001d034884
SynPair80,Sobic.001G008100,Seita.9G006600,Ot_Chr4_23569,LOC_Os03g63680,Bradi1g01227,Pavagv31000093m,Zm00001d034880
SynPair82,Sobic.001G008300,Seita.9G006800,Ot_Chr4_23566,LOC_Os03g63660,Bradi1g01220,Pavagv31000099m,Zm00001d034878
SynPair83,Sobic.001G008400,Seita.9G007000,Ot_Chr4_23565,LOC_Os03g63650,Bradi1g01210,Pavagv31000100m,Zm00001d034877
SynPair84,Sobic.001G008500,Seita.9G007100,Ot_Chr4_23564,LOC_Os03g63590,Bradi1g01140,Pavagv31000103m,Zm00001d034876
SynPair85,Sobic.001G008600,Seita.9G007200,Ot_Chr4_23563,LOC_Os03g63580,Bradi1g01190,Pavagv31000104m,Zm00001d034875
SynPair91,Sobic.001G009200,Seita.9G007700,Ot_Chr4_23557,LOC_Os03g63530,Bradi1g01300,Pavagv31000111m,Zm00001d034872
SynPair92,Sobic.001G009300,Seita.9G007800,Ot_Chr4_23555,LOC_Os03g63520,Bradi1g01290,Pavagv31000112m,Zm00001d034871
SynPair93,Sobic.001G009400,Seita.9G007900,Ot_Chr4_23554,LOC_Os03g63510,Bradi1g01280,Pavagv31000113m,Zm00001d034870
SynPair95,Sobic.001G009600,Seita.9G008100,Ot_Chr4_23552,LOC_Os03g63500,Bradi1g01420,Pavagv31000115m,Zm00001d034868
SynPair98,Sobic.001G009900,Seita.9G008300,Ot_Chr4_23550,LOC_Os03g63490,Bradi1g01460,Pavagv31000117m,Zm00001d034866
SynPair100,Sobic.001G010100,Seita.9G008400,Ot_Chr4_23548,LOC_Os03g63480,Bradi1g01480,Pavagv31000119m,Zm00001d034865
SynPair103,Sobic.001G010400,Seita.9G008700,Ot_Chr4_n35462,LOC_Os03g63450,Bradi1g01500,Pavagv31000122m,Zm00001d034859
SynPair108,Sobic.001G010900,Seita.9G009100,Ot_Chr6_01552,LOC_Os03g63420,Bradi1g01570,Pavagv31000126m,Zm00001d034857
SynPair109,Sobic.001G011000,Seita.9G009200,Ot_Chr4_23543,LOC_Os03g63410,Bradi1g01580,Pavagv31000127m,Zm00001d034856
SynPair112,Sobic.001G011300,Seita.9G009800,Ot_Chr4_23541,LOC_Os03g63380,Bradi1g01620,Pavagv31000139m,Zm00001d034853
SynPair114,Sobic.001G011600,Seita.9G010100,Ot_Chr4_23539,LOC_Os03g63360,Bradi1g01660,Pavagv31000143m,Zm00001d034852
SynPair115,Sobic.001G011700,Seita.9G010200,Ot_Chr4_23538,LOC_Os03g63330,Bradi1g01800,Pavagv31000144m,Zm00001d034851
SynPair116,Sobic.001G011800,Seita.9G010300,Ot_Chr4_25899,LOC_Os03g63320,Bradi1g01790,Pavagv31000145m,Zm00001d034849
SynPair124,Sobic.001G012700,Seita.9G011700,Ot_Chr4_25896,LOC_Os03g63280,Bradi1g01750,Pavagv31000154m,Zm00001d034844
SynPair126,Sobic.001G012900,Seita.9G011900,Ot_Chr4_25895,LOC_Os03g63250,Bradi1g01740,Pavagv31000155m,Zm00001d034842
SynPair128,Sobic.001G013100,Seita.9G012100,Ot_Chr4_25893,LOC_Os03g63110,Bradi1g01720,Pavagv31000157m,Zm00001d034841
SynPair135,Sobic.001G013800,Seita.9G012400,Ot_Chr4_25892,LOC_Os03g63074,Bradi1g01700,Pavagv31000160m,Zm00001d034839
SynPair136,Sobic.001G013900,Seita.9G012500,Ot_Chr4_25892,LOC_Os03g63074,Bradi1g01810,Pavagv31000162m,Zm00001d034838
SynPair137,Sobic.001G014000,Seita.9G012600,Ot_Chr4_n35493,LOC_Os03g63060,Bradi1g01820,Pavagv31000164m,Zm00001d034836
SynPair138,Sobic.001G014100,Seita.9G012800,Ot_Chr4_25888,LOC_Os03g63040,Bradi1g01830,Pavagv31000166m,Zm00001d034835
SynPair139,Sobic.001G014200,Seita.9G012900,Ot_Chr4_25886,LOC_Os03g63020,Bradi1g01840,Pavagv31000168m,Zm00001d034834
SynPair146,Sobic.001G014900,Seita.9G013500,Ot_Chr4_25884,LOC_Os03g62850,Bradi1g01847,Pavagv31000171m,Zm00001d034832
SynPair148,Sobic.001G015100,Seita.9G013900,Ot_Chr4_25881,LOC_Os03g62790,Bradi1g01870,Pavagv31000176m,Zm00001d034829
SynPair149,Sobic.001G015200,Seita.9G014000,Ot_Chr4_25880,LOC_Os03g62780,Bradi1g01880,Pavagv31000177m,Zm00001d034828
SynPair150,Sobic.001G015300,Seita.9G014100,Ot_Chr4_25879,LOC_Os03g62770,Bradi1g01890,Pavagv31000180m,Zm00001d034827
SynPair153,Sobic.001G015600,Seita.9G014300,Ot_Chr4_25877,LOC_Os03g62760,Bradi1g01910,Pavagv31000182m,Zm00001d034822
SynPair154,Sobic.001G015700,Seita.9G014800,Ot_Chr4_25874,LOC_Os03g62740,Bradi1g01920,Pavagv31000185m,Zm00001d034818
SynPair156,Sobic.001G016000,Seita.9G015200,Ot_Chr4_25871,LOC_Os03g62680,Bradi1g01980,Pavagv31000188m,Zm00001d034814
SynPair168,Sobic.001G016900,Seita.9G016500,Ot_Chr4_25864,LOC_Os03g62640,Bradi1g02020,Pavagv31000202m,Zm00001d034809
SynPair169,Sobic.001G017000,Seita.9G016600,Ot_Chr4_25863,LOC_Os03g62630,Bradi1g02030,Pavagv31000203m,Zm00001d034808
